Company Name,Industry,Symbol,Series,ISIN Code,Bloomberg Code
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,OFSS IS Equity
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,POLICYBZ IS Equity
PCBL Chemical Ltd.,Chemicals,PCBL,EQ,INE602A01031,PCBL IS Equity
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029,PGEL IS Equity
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,PI IS Equity
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012,PNBHOUSI IS Equity
PTC Industries Ltd.,Capital Goods,PTCIL,EQ,INE596F01018,PTCIL IS Equity
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014,PVRINOX IS Equity
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,PAG IS Equity
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035,PATANJAL IS Equity
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021,PSYS IS Equity
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014,PLNG IS Equity
Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018,PFIZ IS Equity
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,PHNX IS Equity
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,PIDI IS Equity
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011,PIRPHARM IS Equity
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021,PLM IS Equity
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,POLYCAB IS Equity
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022,POONAWAL IS Equity
