1,2,3,4,5,6,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Symbol,Ticker,Cash ,Name,FUT_CONT_SIZE Sep,Futs1,Futs2,name august,name sep,ID_BB_GLOBAL August ,ID SEP,FUT_CONT_SIZE August,FUT_CONT_SIZE Sep,px_last
,GNP,GNP IS Equity,GLENMARK PHARMACEUTICALS LTD,375,GNP=Q5 is equity,GNP=U5 is equity,Glenmark Pharma Aug25,Glenmark Pharma Sep25,BBG01V9XSKF7,BBG01VT8QNF6,375,375,2043.9
GMRAIRPORT,GMRAI,GMRAIRPO IS Equity,GMR AIRPORTS LTD,6975,GMRAI=Q5 is equity,GMRAI=U5 is equity,GMR AIRPORTS LTD Aug25,GMR AIRPORTS LTD Sep25,BBG01V9XSJX0,BBG01VT8QMW9,6975,6975,89.91
GODREJCP,GCPL,GCPL IS Equity,GODREJ CONSUMER PRODUCTS LTD,500,GCPL=Q5 is equity,GCPL=U5 is equity,GODREJ CONSUMER Aug25,GODREJ CONSUMER Sep25,BBG01V9XSKX7,BBG01VT8QNW7,500,500,1198
GODREJPROP,GPL,GPL IS Equity,GODREJ PROPERTIES LTD,275,GPL=Q5 is equity,GPL=U5 is equity,GODREJ PROPERTIES Aug25,GODREJ PROPERTIES Sep25,BBG01V9XSBC0,BBG01VT8QF36,275,275,1960.1
,GRAN,GRAN IS Equity,GRANULES INDIA LTD,#N/A Invalid Security,GRAN=Q5 is equity,NA,GRANULES INDIA Aug25,#N/A Invalid Security,BBG01V9XSL10,#N/A Invalid Security,1075,#N/A Invalid Security,464
GRASIM,GRASI,GRASIM IS Equity,GRASIM INDUSTRIES LTD,250,GRASI=Q5 is equity,GRASI=U5 is equity,Grasim Industries Aug25,Grasim Industries Sep25,BBG01V9XSGS2,BBG01VT8QK80,250,250,2756
,HNAL,HNAL IS Equity,HINDUSTAN AERONAUTICS LTD,150,HNAL=Q5 is equity,HNAL=U5 is equity,HINDUSTAN AERONA Aug25,HINDUSTAN AERONA Sep25,BBG01V9XSC38,BBG01VT8QG07,150,150,4481.4
HAVELLS,HAVL,HAVL IS Equity,HAVELLS INDIA LTD,500,HAVL=Q5 is equity,HAVL=U5 is equity,HAVELLS INDIA Aug25,HAVELLS INDIA Sep25,BBG01V9XSHV6,BBG01VT8QLR7,500,500,1479.5
,HCLT,HCLT IS Equity,HCL TECHNOLOGIES LTD,350,HCLT=Q5 is equity,HCLT=U5 is equity,HCL Technologies Aug25,HCL Technologies Sep25,BBG01V9XSJB4,BBG01VT8QM86,350,350,1505
,HAMC,HDFCAMC IS Equity,HDFC ASSET MANAGEMENT CO LTD,150,HAMC=Q5 is equity,HAMC=U5 is equity,HDFC ASSET MGMT Aug25,HDFC ASSET MGMT Sep25,BBG01V9XSBL0,BBG01VT8QF63,150,150,5447
HDFCBANK,HDFCB,HDFCB IS Equity,HDFC BANK LIMITED,1100,HDFCB=Q5 is equity,HDFCB=U5 is equity,HDFC Bank Limited Aug25,HDFC Bank Limited Sep25,BBG01V9XSGH4,BBG01VT8QJZ3,550,1100,1991.1
,HDFCL,HDFCLIFE IS Equity,HDFC LIFE INSURANCE CO LTD,1100,HDFCL=Q5 is equity,HDFCL=U5 is equity,HDFC LIFE INSURA Aug25,HDFC LIFE INSURA Sep25,BBG01V9XSB85,BBG01VT8QDZ6,1100,1100,788.45
HEROMOTOCO,HMCL,HMCL IS Equity,HERO MOTOCORP LTD,150,HMCL=Q5 is equity,HMCL=U5 is equity,Hero Motocorp Ltd Aug25,Hero Motocorp Ltd Sep25,BBG01V9XSGJ2,BBG01VT8QK08,150,150,4749.7
,HMFC,HMFC IS Equity,HFCL LTD,6450,HMFC=Q5 is equity,HMFC=U5 is equity,HFCL LTD Aug25,HFCL LTD Sep25,BBG01V9XSD72,BBG01VT8QH41,6450,6450,71.19
